,0,attributions,label_pred,score,tokens
0,,"[-0.16000796394638991, 0.001991805572722242, 0.013379850406531587, 0.011703799237078613, 0.019067801959107938, 0.010041291529494496, 0.0012328932093685569, 0.0013989187760676475, 0.014811214754641913, 0.0473427722767122, -0.0041829418653975, -0.016165691568140583, 0.03183350696402353, 0.09267933406908835, 0.0035964989100736866, 0.010389283156093833, -0.02380861025779357, 0.004723001566246335, 0.01796859615570571, 0.0022476092562143325, 0.008679523751921976, 0.005755589166641978, 0.010881266639884504, -0.012180688195001036, 0.006009976445194796, -0.0022116511315639444, -0.0028207314793429533, -0.013810131114295146, -0.0031089700965781235, 0.011597669182599014, -0.001358038945779462, 0.002510410829034227, 0.00852820936723035, 0.003962253694981804, 0.0023278969474821646, -0.0057040125798108925, 0.0012641519456654108, -0.002055627556923074, -0.0014759570803071598, -0.003283491571447605, 0.015671156126694563, -0.002313295109453132, 0.007399579677213212, 0.00804577089291237, -0.0023997216598148413, 0.005084175723614418, 0.002679394009166556, 0.0074911253586540175, -0.000834606931366937, 0.0009040187323011552, -0.002569964947283662, 0.001657093898562538, 0.006670798476505818, 0.006558687599048833, 0.0012811146727828792, 0.00518492162198217, 0.0005929155828891413, -0.0025072459268730887, -0.0010063163020102026, -0.006054763253991284, 0.0013044760530017384, 0.010286615499230368, 0.006751628092917155, 0.007536673077250048, 0.0002532438904288115, 0.00927367582187861, 0.024990452295475016, 0.005431124555775181, -0.0013311896608759228, 0.015212125250653874, -0.018405148295329906, 0.02071918735103779, 0.0028562153259933357, -0.0031975394515799276, 0.2798163653157063, 0.015999568171929032, 0.06858188069114719, 0.02355277098058528, 0.005810258016897757, -0.001657805593733995, 0.009369352093735125, 0.005661007795528347, 0.0034184095099649508, 0.004835607860521906, -0.0008529821642320098, 0.010801200484477632, 0.06301194125464252, 0.0026122086720278773, -0.014144486005416871, -0.0011955748024720637, -0.007946452659965117, -0.0005036645453596672, -0.0003972310121365094, -0.0035223601662432986, 0.012240652843355118, 0.0076673923238535936, 0.002377109708721834, 0.0012550720046288018, 0.0018699938632819608, -0.0029570398393483914, 0.017404933047803255, 0.017881376688979284, 0.010283313171519088, -0.009116611060712, -0.006940414015614972, -0.00023236484162237033, -0.010548147523983555, 1.4288392402359197e-05, -0.004600347993425314, 0.004599522889856492, -0.0032455148352995, 0.026239168520960063, -0.0009309669394071914, -0.022909701313964217, -0.0018322500415359861, 0.013863978365164602, -0.0018109370103974673, 0.14912028966433746, -0.007015517621473025, 0.011921850066492353, -0.015218755432785178, 0.0001848513041871998, 0.005601580230978369, -0.004011602422056817, -0.00882322665275278, 0.004758945146817601, -0.016611031239187835, 0.02023720821610707, 0.007887797472380989, -0.003985512996149584, -0.0004914608001928229, -0.004023841579468823, -0.003778136095628496, 0.0019408517480621547, -0.0035482353013105705, 0.0028708735289235433, 0.00039102248278302676, -0.005407317339021555, 0.0005246373438401704, 0.0008921999085283906, 0.001055383910856308, 0.0016295613560780005, 0.0021407378055957305, -6.43709120524627e-05, 0.010058959784085577, -0.0007733645091231936, 0.0014642753390943942, -0.006918926011146838, -0.0018145468041243498, 0.00489510272941717, -0.003530631572104739, 0.0007522995841805983, -0.005024963787790943, -0.0005685427143753426, -0.0029794788818923302, 0.003063008165501114, -0.002509412427410035, -0.0003499152986555199, 0.0019506557335586428, -0.0019629608495813967, 0.0065948330317819335, 0.001240933532893909, 0.0013358593689744294, 0.0024238600040133607, 0.006779688945015311, 0.0009600330610400864, -0.00515047528339087, -0.007826751736656751, -0.003395591337061205, 0.0020407157850251996, -0.004940732846370558, -0.0013497339111224436, 0.0007453441314989128, -0.008342770447922192, -0.07778557940796625, 0.07222394204377933, -0.9111470169488114]",comp.windows.x,0.8789054751396179,"['i', ""'"", 'm', 'not', 'familiar', 'at', 'all', 'with', 'the', 'format', 'of', 'these', '""', 'x', '-', 'face', ':', '""', 'thing', '##ies', ',', 'but', 'after', 'seeing', 'them', 'in', 'some', 'folks', ""'"", 'header', '##s', ',', 'i', ""'"", 've', '*', 'got', '*', 'to', '*', 'see', '*', 'them', '(', 'and', 'maybe', 'make', 'one', 'of', 'my', 'own', ')', '!', 'i', ""'"", 've', 'got', '""', 'd', '##pg', '-', 'view', '""', 'on', 'my', 'linux', 'box', '(', 'which', 'displays', '""', 'un', '##com', '##pressed', 'x', '-', 'faces', '""', ')', 'and', 'i', ""'"", 've', 'managed', 'to', 'com', '##pile', '[', 'un', ']', 'com', '##pf', '##ace', 'too', '.', '.', '.', 'but', 'now', 'that', 'i', ""'"", 'm', '*', 'looking', '*', 'for', 'them', ',', 'i', 'can', ""'"", 't', 'seem', 'to', 'find', 'any', 'x', '-', 'face', ':', ""'"", 's', 'in', 'anyone', '##s', 'news', 'header', '##s', '!', ':', '-', '(', 'could', 'you', ',', 'would', 'you', ',', 'please', 'send', 'me', 'your', '""', 'x', '-', 'face', ':', '""', 'header', '?', 'i', '*', 'know', '*', 'i', ""'"", 'll', 'probably', 'get', 'a', 'little', 'swamp', '##ed', ',', 'but', 'i', 'can', 'handle', 'it', '.', '.', '.', '.', 'i', 'hope', '.']"
1,,"[-0.19382938156955007, -0.10837857109743343, 0.11109851499471249, 0.12573139364168126, -0.08756755431796057, 0.9564857114546488]",talk.politics.mideast,0.1044829785823822,"['in', 'a', 'word', ',', 'yes', '.']"
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,"[-0.15498732217607042, 0.05307268127849378, -0.021241816614136814, 0.05721616923901667, -0.02284565999888158, 0.0159203159440329, -0.06655820193041595, -0.04414809351483955, 0.15707267476261877, 0.16052137612808634, 0.03243697320394507, 0.07311242253021473, -0.003390545080807614, 0.08369385464632197, 0.09268959593263768, 0.037084746317282896, 0.9138917482367527, 0.21544981502338942, -0.030943041406770313, -0.07674208043812342]",alt.atheism,0.5779508352279663,"['i', ""'"", 've', 'just', 'spent', 'two', 'solid', 'months', 'arguing', 'that', 'no', 'such', 'thing', 'as', 'an', 'objective', 'moral', 'system', 'exists', '.']"
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,"[-0.0943923214943148, 0.01853114559090983, -0.03305137477542547, 0.09817579639410592, 0.007958622422772212, 0.015662609745235197, -0.058278106651372126, 0.08161250225237895, 0.09500968139023908, 0.1203121735976398, 0.18729732524465467, 0.17497963947430648, -0.1209106425777372, -0.13931711398578725, 0.0594031975630504, 0.07957714461086368, 0.04560714200824773, 0.06153711946341319, -0.004701162733646419, 0.0466927856231306, 0.0907805363136565, 0.13926566688724612, -0.009271944304576773, -0.16113740622690512, 0.7217284347449382, -0.2456645083972763, 0.43995555676192893]",alt.atheism,0.3857676088809967,"['dish', '##ones', '##t', 'money', 'd', '##wind', '##les', 'away', ',', 'but', 'he', 'who', 'gathers', 'money', 'little', 'by', 'little', 'makes', 'it', 'grow', '.', 'prove', '##rb', '##s', '13', ':', '11']"
12,,"[0.3504854823332633, 0.06191428650035683, -0.017152321159705657, 0.05660023636919812, 0.07958604887174235, -0.029893335434285063, -0.04349499729807515, -0.08154830795929371, -0.06166037021834334, -0.14961260159140588, -0.19151444470711687, 0.01589840950173489, -0.12746519713598434, 0.2631467488713881, -0.05549236752076915, -0.20920073565977115, 0.3201548994187505, -0.16789836242517908, 0.04450577682858926, -0.029748864495733635, -0.12023556070175619, 0.14277711209625563, 0.07800177993224422, -0.008166177117052758, -0.023732102132883636, 0.03991610593024155, -0.010920544080936236, -0.04123984159891012, -0.09509565945328854, 0.04095085822022221, 0.11140580575156177, 0.05314483763014906, 0.15958124261002074, 0.020527924783498568, 0.1157195942334531, -0.05227415139448987, -0.09617514994793007, 0.0019152614221196477, 0.006614518275033682, 0.005543062066535095, 0.07554903680318661, 0.10401527986982738, 0.0475822706939839, -0.06491637771565462, -0.12170178542996679, 0.07836420791127875, 0.0957328364735257, -0.07435823795015359, 0.011466388565879526, -0.057703734812768914, -0.02006105915013332, -0.01398363044476231, -0.012818866954288861, 0.027047043036005032, -0.026369870350932363, 0.15360257650514175, 0.02012961543510158, -0.02292804780956694, 0.05815875401169484, -0.09945060513315901, 0.002493341774697268, -0.10356046916740867, 0.014759595042008489, 0.07865154307257223, -0.035638256800072605, 0.20656030363389433, 0.06142519684048787, 0.244536772563495, -0.10123596190816699, 0.01583359398487167, -0.045544580302118276, 0.10955125678355294, 0.0265960135319628, 0.013843057229529353, -0.005768468972677099, 0.01770907174543999, 0.04748540709015314, 0.03335592477412402, -0.02537384170507641, 0.027974894569740616, 0.005349059688979627, 0.0071506133092807895, -0.03729638492797423, 0.004659043244158968, 0.02449254006518462, 0.009463514528340907, -0.018514509497133763, -0.020614850183771963, -0.03237015056179367, 0.01853180387823048, -0.01295525013212431, -0.031750314414607385, 0.007540628910522, -0.01703188578919172, -0.008448797853764805, -0.07048319486193949, 0.08260523121874773, 0.011558631066883738, -0.05970801263291223, -0.012301274158528443, -0.029594977529845676, 0.04911366959746225, 0.004207394561880457, -0.006007764896488044, -0.004101663382557296, -0.07833251768549958, 0.004386955589279256, -0.06531237019812162, -0.012255332612844689, -0.05843449262649945, 0.031015248789898312, 0.015050310073358025, -0.004457365037294821, 0.004850810125152031, 0.02201474446216077, 0.004002223495230886, -0.022369675923446082, -0.05911029641092438, 0.016689330054819387, -0.04380643169744861, -0.01075206755693911, -0.03586807719763539, 0.027412297052652072, 0.04736178338326847, 0.05376178515361697, -0.3021520273287871]",comp.os.ms-windows.misc,0.4743175208568573,"['a', 'friend', 'of', 'mine', 'managed', 'to', 'get', 'a', 'copy', 'of', 'a', 'computer', '##ised', 'greek', 'and', 'hebrew', 'lexi', '##con', 'called', '""', 'the', 'word', 'perfect', '""', '(', 'that', 'is', 'not', 'the', 'word', 'processing', 'package', 'word', '##per', '##fect', ')', '.', 'however', ',', 'some', 'one', 'wiped', 'out', 'the', 'ex', '##e', 'file', ',', 'and', 'she', 'has', 'not', 'been', 'able', 'to', 'restore', 'it', '.', 'there', 'are', 'no', 'distributors', 'of', 'the', 'package', 'in', 'south', 'africa', '.', 'i', 'would', 'appreciate', 'it', ',', 'if', 'some', 'one', 'could', 'email', 'me', 'the', 'file', ',', 'or', 'at', 'least', 'tell', 'me', 'where', 'i', 'could', 'get', 'it', 'from', '.', 'my', 'email', 'address', 'is', 'fort', '##mann', '@', 'superb', '##ow', '##l', '.', 'und', '.', 'ac', '.', 'za', 'or', 'fort', '##mann', '@', 'shri', '##ke', '.', 'und', '.', 'ac', '.', 'za', 'many', 'thanks', '.']"
13,,"[-0.018949440527004292, -0.05506728198094326, 0.025406368300287984, -0.01629073338883782, 0.04125503795978823, 0.01268492049817585, 0.027149901735769824, 0.0759646699234862, 0.02380353362255827, -0.00017147137828781194, -0.018198103748484355, 0.05063924608876264, 0.14541635151292986, 0.24104365769038968, 0.2796909906333416, 0.10902639396773042, 0.09431441017660369, 0.5633542738390199, 0.4389174836669797, 0.037745199185423794, 0.06160585440381385, 0.03426655262777632, 0.02903720605110338, -0.002422098275569191, -0.006802508720582838, 0.03661828744077454, 0.10419048424205253, 0.027913252828156758, -0.012050112239925349, 0.030045296286996537, 0.05657032342543516, 0.28283478887128766, -0.07767815743147889, -0.0226908909769364, 0.023070898629478514, -0.059287262021856066, -0.04515195743376825, -0.001729050691879917, 0.0455332749891116, 0.024066842909248203, 0.024557338540491174, 0.0008305541787037235, -0.029603407085407783, 0.017998075936958992, 0.001984931901055791, -0.0454942083710108, 0.04357836781295204, -0.033590298933556355, -0.0225912635024209, 0.011073263611007765, -0.00798452576810495, 0.026884391740411146, 0.00030000826857246406, 0.05472693468861657, 0.05861372948837073, -0.40129412883442617]",comp.windows.x,0.896857500076294,"['hi', ',', 'we', 'have', 'a', 'requirement', 'for', 'dynamic', '##ally', 'closing', 'and', 'opening', 'different', 'display', 'servers', 'within', 'an', 'x', 'application', 'in', 'a', 'manner', 'such', 'that', 'at', 'any', 'time', 'there', 'is', 'only', 'one', 'display', 'associated', 'with', 'the', 'client', '.', 'ass', '##um', '##ming', 'a', 'proper', 'cleanup', 'is', 'done', 'during', 'the', 'transition', 'should', 'we', 'anti', '##ci', '##pate', 'any', 'problems', '.']"
14,,"[-0.09791761854850768, 0.006299910167375027, 0.01758822811996367, 0.007107743803942165, 0.04790490753184762, 0.027651424848326063, -0.0017651370133048366, -0.014907156831805102, 0.08179287926740687, 0.10606906014084311, 0.1352595867213774, 0.27377502114688207, 0.6619949373560415, 0.02580887975999429, -0.010360532578916766, -0.039923032795506144, 0.09445623786548164, -0.07147303878317474, 0.010469529309885296, -0.008426609235082214, 0.0059420035224485215, 0.09474751243896674, -0.008157858977184632, -0.007256926537702504, 0.008396653112999836, -0.000454342851607754, -0.00840567600737823, 0.0048651257479307266, 0.0043825103440419955, 0.0018496336614298816, 0.02908208242185548, -0.019859293536911578, -0.01399290752459948, -0.0062264255283251135, 0.007194224847492748, 0.006031768288092313, -0.00043724719868853886, -0.017949632602954544, -0.020801268218446835, -0.018136624788825183, 0.006768612634037564, -0.03500137591977231, -0.02365080135783552, 0.019128722411055815, -0.028202831985935213, 0.018962257609240543, -0.021976988659072366, -0.2237286144846104, 0.01125876370844012, -0.010947103970531636, 0.014133869039817419, 0.001527412148006066, -0.013871843199816358, -7.543671855582525e-05, 0.016927824265315108, -0.014904901487960587, 0.0033469092764025735, -0.02628783683797118, -0.01781270438491457, 0.021601178742469754, 0.0649658496085381, -0.0424957910240641, 0.10015158292572843, 0.09344458632865586, -0.09602150053814151, 0.058133626671158026, 0.019026234950335626, -0.038869873653934954, 0.05544268243018115, 0.001969712277575896, 0.016371216850831902, -0.00013486750282219376, -0.018886168939850713, -0.023273260480955835, 0.08530276357231902, 0.004405224114334288, -0.03748224654030333, -0.0366234425316313, 0.0073823711050534395, 0.13015369489369583, -0.01011838209993942, 0.019340323975871914, -0.003949027209733377, -0.009289448322488358, 0.0099756703375162, 0.037220476189569564, -0.05248667528424757, -0.013115008369051382, 0.0057505957701350545, 0.10735495386527609, 0.014785834088168923, -0.04264575701636955, -0.021184475019638105, -0.00011084650633875813, 0.13500341370527819, -0.03789101443086946, 0.01240536319546673, -0.025810212851892382, -0.02251333632395616, 0.002816754865165133, -0.010452034549393158, -0.018844280155122045, 0.03866333903358504, -0.013477807125731097, -0.0008972911173305033, -0.010637948239086424, 0.029812867165344818, 0.039086509826100686, 0.009788124349063775, -0.04393551560803851, 0.029476128018426178, 0.022811782131505875, 0.02848436012727338, 0.013310734848719858, 0.03804775819921654, -0.008538835618149986, -0.01470857913271541, 0.00010603460899506969, 0.019141647375071406, -0.027776746758554013, 0.018170069456161647, 0.008783098878151444, -0.0024545787340533587, 0.03565955400440391, -0.05281026347115029, -0.012502520086989698, 0.012528423384546157, 0.03512303511859734, -0.0066630333874003415, 0.010812340022432481, -0.0426395423946508, 0.04048645126325544, -0.06733157693224774, -0.06576799577290733, 0.05259690758529723, 0.055587247347491986, -0.00750814247008987, -0.02205529099462944, 0.021042651861207348, -0.011263626892868459, -0.45193222181752574]",comp.graphics,0.815248429775238,"[':', ':', 'well', ',', 'i', 'have', 'lots', 'of', 'experience', 'with', 'scanning', 'in', 'images', 'and', 'altering', ':', 'them', '.', 'as', 'for', 'changing', 'them', 'back', 'into', 'negative', '##s', ',', 'is', 'that', 'really', 'possible', '?', ':', '(', 'stuff', 'deleted', ')', ':', 'jennifer', 'ur', '##so', ':', 'the', 'oh', '-', 'so', 'bitter', 'woman', 'of', 'utter', 'blah', '##ness', '(', 'but', 'cheerful', ':', 'under', '##tones', ')', 'i', 'use', 'al', '##dus', 'photos', '##tyle', '##r', 'on', 'the', 'pc', 'and', 'i', 'can', 'turn', 'a', 'colour', 'or', 'black', 'and', 'white', 'image', 'into', 'a', 'negative', 'or', 'turn', 'a', 'negative', 'into', 'a', 'colour', 'or', 'black', 'and', 'white', 'image', '.', 'i', 'don', ""'"", 't', 'know', 'how', 'it', 'does', 'it', 'but', 'it', 'works', 'well', '.', 'to', 'test', 'it', 'i', 'scanned', 'a', 'negative', 'and', 'used', 'al', '##dus', 'to', 'create', 'a', 'positive', '.', 'it', 'looked', 'better', 'than', 'the', 'print', 'that', 'the', 'film', 'developers', 'gave', 'me', '.', '-', '-']"
